Thumbnail,Media Number,Filename,Original Filename,Customer,Credit,Description,Fee,Currency,Your Share (%),Your Share,Agency,Media Link,Slug?
<a href='https://www.nurphoto.com/photo/2470704' target='_blank'><img src='https://www.nurphoto.com/photo/2470704/picture/photo' width='100'/></a>,2470704,slabbers-superbow180208_npGE6,_BAS7789.JPG,Fox Sports Interactive Media,NurPhoto,"Philadelphia Eagles center Jason Kelce delivers a rant as he speaks from the stage to hundreds of thousands on the Parkway in Philadelphia, PA, on February 8, 2018, gathered to celebrate the Philadelphia Eagles winning Super Bowl LII. The Eagles beat the New England Patriots by 41-33. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/2470704,False
<a href='https://www.nurphoto.com/photo/1925062' target='_blank'><img src='https://www.nurphoto.com/photo/1925062/picture/photo' width='100'/></a>,1925062,slabbers-trump100170429_np6NA,20170429_Trump_100Days_BS1276_054__BAS5362.JPG,Reach Publishing,NurPhoto,"President Donald Trump speaks to thousands at a April 29, 2017 ""Make America Great Again"" rally in Harrisburg, PA. The =E2=80=9CMake America Great Again=E2=80=9D event is to celebrate the president=E2=80=99s first 100 days in office and to campaign for the 2020 US Presidential Elections.
 (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/1925062,False
<a href='https://www.nurphoto.com/photo/1925058' target='_blank'><img src='https://www.nurphoto.com/photo/1925058/picture/photo' width='100'/></a>,1925058,slabbers-trump100170429_npRZ7,20170429_Trump_100Days_BS1276_057__BAS5386.JPG,Reach Publishing,NurPhoto,"President Donald Trump speaks to thousands at a April 29, 2017 ""Make America Great Again"" rally in Harrisburg, PA. The =E2=80=9CMake America Great Again=E2=80=9D event is to celebrate the president=E2=80=99s first 100 days in office and to campaign for the 2020 US Presidential Elections.
 (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/1925058,False
<a href='https://www.nurphoto.com/photo/1644832' target='_blank'><img src='https://www.nurphoto.com/photo/1644832/picture/photo' width='100'/></a>,1644832,slabbers-trumpann160907_np1RV,20160907_Trump_Union_League_BS1174_012.jpg,"NEW ADVENTURES, LDA",NurPhoto,"Republican Presidential Candidate Donald Trump outlines his campaign's Security and Foreign policies for a small group in the Lincoln Room of the Union League of Philadelphia, in Philadelphia, Pennsylvania, on September 7, 2016. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/1644832,False
<a href='https://www.nurphoto.com/photo/5219088' target='_blank'><img src='https://www.nurphoto.com/photo/5219088/picture/photo' width='100'/></a>,5219088,slabbers-trumppen191210_nppMH,US-PENNSYLVANIA-CAMPAIGN-85.JPG,Nexstar Broadcasting Inc.,NurPhoto,"U.S. President Donald Trump speaks for more than an hour as he and Vice-President Mike Pence return to Pennsylvania for a a Keep America Great campaign rally at the Giant Center, in Hershey, PA, on December 10, 2019. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/5219088,False
<a href='https://www.nurphoto.com/photo/11003811' target='_blank'><img src='https://www.nurphoto.com/photo/11003811/picture/photo' width='100'/></a>,11003811,slabbers-trumpspe240217_npORq,_BSA5816.JPG,IPA,NurPhoto,"Former U.S. President Donald Trump is speaking on stage to promote self-branded golden sneakers during an appearance at SneakerCon at the Pennsylvania Convention Center in Philadelphia, PA, USA, on February 17, 2024. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/11003811,False
<a href='https://www.nurphoto.com/photo/11003811' target='_blank'><img src='https://www.nurphoto.com/photo/11003811/picture/photo' width='100'/></a>,11003811,slabbers-trumpspe240217_npORq,_BSA5816.JPG,IPA,NurPhoto,"Former U.S. President Donald Trump is speaking on stage to promote self-branded golden sneakers during an appearance at SneakerCon at the Pennsylvania Convention Center in Philadelphia, PA, USA, on February 17, 2024. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/11003811,False
<a href='https://www.nurphoto.com/photo/3280846' target='_blank'><img src='https://www.nurphoto.com/photo/3280846/picture/photo' width='100'/></a>,3280846,slabbers-undocume170106_np0D4,2017 01 06_10__BS45730 - B Slabbers -  - Philadelphia Sen Casey Office -   =E2=80=94 .JPG,DailyWire LLC,NurPhoto,"To demand the stop of their deportation, undocumented Carmela Apolonio Hernandez and daughter Keyri Artillero Apolonio, 14, leave sanctuary to occupy first the office and later the lobby at the office of Senator Bob Casey, in Philadelphia, PA, on October 10, 2018.  (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/3280846,False
<a href='https://www.nurphoto.com/photo/3280872' target='_blank'><img src='https://www.nurphoto.com/photo/3280872/picture/photo' width='100'/></a>,3280872,slabbers-undocume170106_npiQd,2017 01 06_13__BS14183 - B Slabbers -  - Philadelphia Sen Casey Office -   =E2=80=94 .JPG,NBC Universal Digital Owned Te,NurPhoto,"One is arrested, briefly detained and subsequently released when a group of protestors block the entrance to the lobby of the Center City office of Sen. Bob Casey, in Philadelphia, PA, on October 10, 2018. The group gathers in support of undocumented immigrant Carmela Apolonio Hernandez and daughter Keyri Artillero Apolonio, 14, after they left their sanctuary church to occupy the Senators office. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/3280872,False
<a href='https://www.nurphoto.com/photo/3280770' target='_blank'><img src='https://www.nurphoto.com/photo/3280770/picture/photo' width='100'/></a>,3280770,slabbers-undocume170106_npoMa,2017 01 06_02__BS14098 - B Slabbers -  - Philadelphia Sen Casey Office -   =E2=80=94 .JPG,ViacomCBS ED,NurPhoto,"To demand the stop of their deportation, undocumented Carmela Apolonio Hernandez and daughter Keyri Artillero Apolonio, 14, leave sanctuary to occupy first the office and later the lobby at the office of Senator Bob Casey, in Philadelphia, PA, on October 10, 2018.  (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/3280770,False
<a href='https://www.nurphoto.com/photo/4922644' target='_blank'><img src='https://www.nurphoto.com/photo/4922644/picture/photo' width='100'/></a>,4922644,slabbers-unsbabyt190921_npr3W,US-PROTEST-TRUMP_04.JPG,Verlag Der Tagesspiegel GmbH,NurPhoto,"A small Baby Trump balloon floats infant of a larger version, against a clear blue sky, in Philadelphia, PA, on September 21, 2019 as hundreds of Puertorrique=C3=B1os from the region commemorate the second anniversary of the devastation of Hurricane Marina in Puerto Rico. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/4922644,False
<a href='https://www.nurphoto.com/photo/1662331' target='_blank'><img src='https://www.nurphoto.com/photo/1662331/picture/photo' width='100'/></a>,1662331,slabbers-womensma170121_npwVN,_BS21452.JPG,"Promotora de Informaciones, S.",NurPhoto,"An estimated half-million have gathered in Washington DC, on Jan. 21, 2017, to participate in the Women=E2=80=99s March on Washington, a day after the inauguration of Donald Trump as President of the United States. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/1662331,False
<a href='https://www.nurphoto.com/photo/1662635' target='_blank'><img src='https://www.nurphoto.com/photo/1662635/picture/photo' width='100'/></a>,1662635,slabbers-womensma170122_npagw,_BS21702.jpg,The Blueprint Media,NurPhoto,"An estimated 500.000 protested in Washington DC, on Jan. 21, 2017, during the Women=E2=80=99s March on Washington, a day after the inauguration of Donald Trump as President of the United States. (Photo by Bastiaan Slabbers/NurPhoto)",0.0,EUR,50.0,0.0,NurPhoto,https://www.nurphoto.com/photo/1662635,False
